False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.07518796992481203,1.0
0.0,0.09398496240601503,0.9999999999999998
0.0,0.10526315789473684,0.9999999999999996
0.0,0.11278195488721804,0.9999999999999993
0.0,0.12406015037593984,0.9999999999999984
0.0,0.8872180451127819,0.9103066178462075
0.0013623978201634877,0.8872180451127819,0.9055437986741718
0.0013623978201634877,0.9135338345864662,0.8594796486434266
0.0027247956403269754,0.9135338345864662,0.8553194549716585
0.0027247956403269754,0.924812030075188,0.8433526894841316
0.005449591280653951,0.924812030075188,0.8398991834443565
0.005449591280653951,0.9323308270676691,0.8333379822492216
0.006811989100817439,0.9323308270676691,0.8327653376135655
0.006811989100817439,0.9360902255639098,0.8319040641149291
0.009536784741144414,0.9360902255639098,0.8249707953701009
0.009536784741144414,0.9586466165413534,0.7569119337190695
0.010899182561307902,0.9586466165413534,0.7547948140108964
0.010899182561307902,0.9624060150375939,0.7479042685951984
0.01226158038147139,0.9624060150375939,0.7472062621633833
0.01226158038147139,0.9661654135338346,0.7316060207589992
0.01634877384196185,0.9661654135338346,0.6588337672643672
0.01634877384196185,0.9699248120300752,0.6368786669620483
0.01907356948228883,0.9699248120300752,0.6026875070404668
0.01907356948228883,0.9774436090225563,0.5818987242703538
0.021798365122615803,0.9774436090225563,0.5516083611461507
0.021798365122615803,0.9849624060150376,0.5445945051200562
0.027247956403269755,0.9849624060150376,0.5171461797001442
0.027247956403269755,0.9924812030075187,0.506437336393226
0.0340599455040872,0.9924812030075187,0.45156977099068657
0.0340599455040872,0.9962406015037594,0.4307172150226911
0.043596730245231606,0.9962406015037594,0.35732910623166697
0.043596730245231606,1.0,0.35726318749566277
1.0,1.0,1.3693550913171862e-14
