Current_Semester,GPA_Cumulative,Total_Credits,Credits_Completed,Credits_Remaining,Completion_Rate,Average_Credits_Per_Semester,Remaining_To_OJT,Failed_Courses,Retake_Count,Missing_Prerequisite_Courses,Academic_Warning_Count,Suspension_Count,Planned_OJT_Semester,OJT_Credit_Gap,OJT_Credit_Progress,OJT_Semester_Gap,Required_Average_Credits_Per_Semester,Credit_Completion_Efficiency,Student_Profile_AtRisk,Student_Profile_Average,Student_Profile_Critical,Student_Profile_Excellent,Student_Profile_Good,Student_Profile_LateStarter,Student_Profile_Recovery,Credit_Progress_Category_Advanced,Credit_Progress_Category_Developing,Credit_Progress_Category_Early,Credit_Progress_Category_Near_Completion,OJT_Eligibility_Gap_Category_Eligible,OJT_Eligibility_Gap_Category_Far_From_Eligible,OJT_Eligibility_Gap_Category_Moderate_Gap,OJT_Eligibility_Gap_Category_Near_Eligible,OJT_Planning_Status_Approaching_OJT,OJT_Planning_Status_Long_Term_Planning,OJT_Planning_Status_Moderate_Planning_Gap,OJT_Planning_Status_OJT_Ready_Stage
-1.3643631053031093,-0.6790221651622376,0.0,-1.3019480016662062,1.3019480016662064,-1.3020972594130729,0.6041264562538163,1.3501416439489775,0.6176513671875371,0.3242587266904521,1.0281475126806967,0.6010526900877488,-0.3544520125108769,-0.1104147257908731,1.3501416439489775,-1.3501416439489775,1.8659926131132443,0.128158708136131,0.3814337059837644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
1.035044422158943,-0.2582843326525537,0.0,1.1841018191168486,-1.1841018191168484,1.184252984989014,0.10129568802881417,-1.1886654528852512,-0.4959864370721646,0.3242587266904521,0.026542531988347228,-0.6957168678146217,-0.3544520125108769,0.9855130736222629,-1.1886654528852512,1.1886654528852512,-0.7092703377043441,-1.299127064183334,0.3814337059837644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.035044422158943,-0.21153568459592248,0.0,1.2212070403225659,-1.2212070403225657,1.221209838550148,0.17435656888202025,-1.1886654528852512,0.6176513671875371,-0.7067706109580442,-0.9750624487040023,0.6010526900877488,-0.3544520125108769,-0.1104147257908731,-1.1886654528852512,1.1886654528852512,-1.5676913213102068,-1.299127064183334,0.3814337059837644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.16465934157208317,-0.8893910814170798,0.0,-0.3743174715232752,0.3743174715232755,-0.374168550721463,-0.685183205861572,0.34267851028460095,1.174470269317388,0.3242587266904521,0.026542531988347228,0.6010526900877488,-0.3544520125108769,-1.206342525204009,0.34267851028460095,-0.3426785102846011,-0.7092703377043441,2.1444830531588672,0.3814337059837644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-0.16465934157208317,-1.1776744110996402,0.0,-0.819580125991882,0.8195801259918823,-0.8194318466387421,-1.9744928679769604,0.8262608144435016,1.174470269317388,0.3242587266904521,0.026542531988347228,1.8978222479901192,-0.3544520125108769,-1.206342525204009,0.8262608144435016,-0.8262608144435019,-0.7092703377043441,3.2319388796879833,0.3814337059837644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-1.9642149871686223,-0.6011077517345186,0.0,-1.9698419833691163,1.9698419833691165,-1.9699922032889916,0.8190113999397145,2.0755151001873284,0.6176513671875371,-0.7067706109580442,1.0281475126806967,-0.6957168678146217,-0.3544520125108769,-1.206342525204009,2.0755151001873284,-2.0755151001873284,1.8659926131132443,0.5359546430845495,0.3814337059837644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0.43519254029342985,-0.17257847788206232,0.0,0.33068173138535223,-0.33068173138535195,0.3306832467155898,-0.38434428470131504,-0.42299347130032516,0.6176513671875371,1.3552880643389484,0.026542531988347228,0.6010526900877488,-0.3544520125108769,-0.1104147257908731,-0.42299347130032516,0.422993471300325,-0.7092703377043441,0.4226779944877666,0.3814337059837644,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
-0.16465934157208317,2.009025098094076,0.0,-0.003265259466102889,0.0032652594661031526,-0.003264225222369543,0.38924151256791834,-0.06030674318114962,-1.0528053392020156,-1.2222852797822923,-0.9750624487040023,-0.6957168678146217,-0.3544520125108769,-1.206342525204009,-0.06030674318114962,0.06030674318114947,-0.7092703377043441,1.2382698643846035,0.3814337059837644,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.035044422158943,-0.0011667683410802134,0.0,1.2212070403225659,-1.2212070403225657,1.221209838550148,0.17435656888202025,-1.1886654528852512,0.06083246505768625,-0.7067706109580442,0.026542531988347228,-0.6957168678146217,-0.3544520125108769,-0.1104147257908731,-1.1886654528852512,1.1886654528852512,-1.5676913213102068,-1.299127064183334,0.3814337059837644,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-0.7645112234375963,-1.060802790958062,0.0,-1.1906323380490544,1.1906323380490547,-1.1907814354337531,-1.6177838614583697,1.2292460679092523,1.731289171447239,1.8708027331631965,0.026542531988347228,0.6010526900877488,-0.3544520125108769,-0.1104147257908731,1.2292460679092523,-1.2292460679092525,1.0075716295073815,0.513299313365193,0.3814337059837644,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
